topic0,rate,think,rrp,meet,busi,thank,mean,name,true,altern,currenc,start,dtype,separ,instanc,statementse,readi,float,comm,laughter
 ,0.044,0.042,0.042,0.042,0.025,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic1,meet,rate,rrp,think,realign,name,lemmat,comm,opin,sec,length,instanc,european,separ,need,alan,appendix,busi,bring,dtype
 ,0.044,0.044,0.042,0.041,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022
topic2,meet,rate,think,rrp,true,overnight,chang,currenc,item,mean,instanc,float,sec,act,thank,appendix,statementse,bring,opin,object
 ,0.048,0.044,0.044,0.042,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic3,rrp,rate,think,meet,ty,readi,chang,sec,laughter,thank,everybodi,separ,alan,altern,item,dtype,object,overnight,opin,european
 ,0.046,0.045,0.044,0.044,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic4,think,meet,rrp,rate,european,chang,morn,need,sec,act,bring,ty,true,lemmat,realign,comm,mean,discuss,instanc,opin
 ,0.045,0.045,0.044,0.043,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic5,think,rrp,rate,meet,statementse,appendix,question,thank,start,everybodi,sec,need,currenc,alan,chang,discuss,instanc,ty,float,overnight
 ,0.046,0.044,0.043,0.041,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022
topic6,meet,rate,rrp,think,need,separ,everybodi,bring,ty,overnight,question,lemmat,readi,item,object,morn,european,ask,mean,float
 ,0.045,0.045,0.042,0.042,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022
topic7,rrp,rate,meet,think,appendix,separ,ty,alan,object,overnight,readi,dtype,need,european,realign,opin,everybodi,true,statementse,mean
 ,0.044,0.044,0.044,0.043,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic8,rrp,think,rate,meet,ask,alan,realign,object,mean,statementse,everybodi,act,altern,name,float,busi,bring,currenc,morn,true
 ,0.046,0.046,0.043,0.042,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022
topic9,rrp,rate,meet,think,discuss,separ,length,thank,object,act,realign,true,question,alan,dtype,ye,sec,chang,readi,statementse
 ,0.045,0.043,0.043,0.041,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic10,rrp,think,rate,meet,everybodi,object,ask,need,ty,alan,altern,currenc,busi,mean,opin,laughter,instanc,float,appendix,statementse
 ,0.044,0.043,0.042,0.042,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic11,meet,think,rrp,rate,item,realign,act,readi,appendix,instanc,sec,need,true,start,chang,overnight,ye,bring,separ,european
 ,0.045,0.043,0.042,0.042,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022
topic12,think,rate,rrp,meet,lemmat,laughter,float,ye,mean,dtype,currenc,true,chang,ask,act,comm,everybodi,opin,appendix,question
 ,0.046,0.045,0.044,0.044,0.024,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic13,rrp,rate,meet,think,morn,name,comm,float,instanc,realign,discuss,busi,question,appendix,everybodi,ye,act,statementse,ask,european
 ,0.048,0.044,0.043,0.041,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic14,think,meet,rate,rrp,discuss,true,dtype,act,readi,item,ye,laughter,comm,sec,ty,statementse,ask,currenc,realign,altern
 ,0.043,0.042,0.041,0.04,0.025,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022
topic15,rate,think,meet,rrp,ye,opin,european,thank,object,altern,ask,realign,name,statementse,need,lemmat,appendix,laughter,chang,separ
 ,0.047,0.044,0.043,0.041,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022
topic16,meet,rate,think,rrp,object,opin,readi,name,ye,realign,item,mean,busi,chang,ask,statementse,instanc,appendix,length,start
 ,0.046,0.044,0.043,0.043,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022
topic17,think,meet,rrp,rate,morn,start,european,lemmat,ye,discuss,altern,laughter,act,comm,ask,mean,instanc,currenc,thank,sec
 ,0.046,0.045,0.042,0.041,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic18,meet,rrp,think,rate,currenc,opin,length,morn,comm,readi,everybodi,ye,european,thank,lemmat,ask,discuss,dtype,start,float
 ,0.046,0.045,0.043,0.042,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022
topic19,meet,rate,rrp,think,float,sec,question,start,laughter,overnight,alan,comm,instanc,dtype,discuss,everybodi,item,name,true,length
 ,0.045,0.044,0.043,0.042,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022
topic20,think,rrp,meet,rate,currenc,object,european,overnight,bring,ye,question,realign,start,separ,alan,dtype,morn,opin,statementse,laughter
 ,0.044,0.043,0.041,0.04,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022
topic21,rate,think,rrp,meet,question,overnight,everybodi,thank,currenc,length,separ,ty,act,start,readi,true,discuss,morn,mean,ask
 ,0.044,0.042,0.042,0.039,0.025,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic22,think,rate,meet,rrp,readi,start,length,discuss,ty,laughter,appendix,mean,comm,morn,chang,object,everybodi,altern,true,instanc
 ,0.044,0.043,0.042,0.04,0.025,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic23,rrp,rate,meet,think,bring,alan,true,comm,item,readi,name,appendix,altern,separ,mean,ye,busi,morn,discuss,realign
 ,0.046,0.046,0.046,0.044,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic24,rate,rrp,meet,think,name,act,dtype,need,opin,separ,currenc,busi,altern,comm,float,bring,length,question,discuss,european
 ,0.044,0.043,0.042,0.041,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022
topic25,rrp,rate,think,meet,overnight,object,opin,busi,name,question,start,item,altern,european,float,statementse,lemmat,length,realign,discuss
 ,0.045,0.044,0.043,0.04,0.025,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022
topic26,meet,rrp,think,rate,altern,dtype,start,need,instanc,statementse,lemmat,laughter,currenc,length,everybodi,bring,ask,item,separ,discuss
 ,0.044,0.044,0.043,0.042,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic27,meet,think,rate,rrp,busi,opin,ty,laughter,altern,bring,ask,separ,mean,comm,lemmat,item,ye,morn,overnight,dtype
 ,0.046,0.045,0.045,0.043,0.024,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
topic28,meet,rrp,think,rate,name,float,overnight,ty,laughter,separ,statementse,morn,readi,thank,lemmat,comm,instanc,sec,appendix,dtype
 ,0.045,0.044,0.043,0.043,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022
topic29,rrp,think,rate,meet,length,alan,discuss,sec,appendix,comm,lemmat,instanc,overnight,question,object,mean,busi,thank,realign,laughter
 ,0.045,0.044,0.043,0.041,0.025,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022
